id,parent_id,group_id,cate_id,name,currency_type,unit_type,description,long_description,code,attachment,price,unit,minimum_order_quantity,,disabled_reason,disabled_reason_text,gst_percentage,hsn_code,youtube_video,product_available_for,product_added_by,product_last_modified_by,date_modified,date_added,is_deleted
,0,1,2,"Mango, Orange, Strawbery, Imli, Kaccha Aam, Chatpati, Litchi ",1,21,"Mango, Orange, Strawbery, Imli, Kaccha Aam, Chatpati, Litchi ","Mango, Orange, Strawbery, Imli, Kaccha Aam, Chatpati, Litchi ",,,150,1,,,,,0,,,,,,,,
,0,1,2,Coffee Cappuccino ,1,21,Coffee Cappuccino ,Coffee Cappuccino ,,,150,1,,,,,0,,,,,,,,
,0,1,2,London Cream Candy,1,21,London Cream Candy,London Cream Candy,,,150,1,,,,,0,,,,,,,,
,0,1,2,Mango Milk Shake,1,21,Mango Milk Shake,Mango Milk Shake,,,150,1,,,,,0,,,,,,,,
,0,1,2,Coffee Cappuccino ,1,24,Coffee Cappuccino ,Coffee Cappuccino ,,,75,1,,,,,0,,,,,,,,
,0,1,2,Mango Milk Shake,1,24,Mango Milk Shake,Mango Milk Shake,,,75,1,,,,,0,,,,,,,,
,0,1,2,London Cream  Candy,1,24,London Cream  Candy,London Cream  Candy,,,75,1,,,,,0,,,,,,,,
,0,1,2,         Til Candy,1,24,         Til Candy,         Til Candy,,,75,1,,,,,0,,,,,,,,
,0,1,2,Jelly PUDDING CUP RS.1/-,1,21,Jelly PUDDING CUP RS.1/-,Jelly PUDDING CUP RS.1/-,,,140,1,,,,,0,,,,,,,,
,0,1,2,Dippy Sippy Jelly Cup,1,24,Dippy Sippy Jelly Cup,Dippy Sippy Jelly Cup,,,38,1,,,,,0,,,,,,,,
